course_name,consolidated_clo_text,num_sub_clos,sub_clo_codes,source_files
Desain dan Manajemen Jaringan Komputer,"Memahami konsep arsitektur dan infrastruktur jaringan perusahaan, menyusun desain jaringan komputer, serta merancang jaringan komputer sesuai kebutuhan pengguna.",3,CLO01; CLO02; CLO03,ITS_SI_BRIN.xlsx
Design Thinking,"Mahasiswa mampu menganalisis peluang model bisnis digital, menyusun kebutuhan sumber daya dan mengembangkan rencana bisnis digital, mengomunikasikan ide bisnis kepada stakeholder, menguraikan dan mempraktikkan design thinking (termasuk studi praktik startup) untuk menghasilkan ide dan produk baru, serta memecahkan masalah di sekitar melalui proses design thinking.",8,CLO 1-1; CLO 1-2; CLO 2-1; CLO 3-1; CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx; TeluSurabaya.xlsx
Etika Profesi,"Memahami etika dan prinsip etika di bidang Teknologi Informasi, etika sebagai profesional TI, kode etik penggunaan teknologi informasi dan data, menganalisis dampak teknologi digital di masyarakat, serta menjelaskan etika penggunaan TI dalam konteks organisasi dan masyarakat.",5,CLO 1-SubCLO1; CLO 1-SubCLO2; CLO 2-SubCLO3; CLO 2-SubCLO4; CLO 2-SubCLO5,TeluSurabaya.xlsx
Etika Teknologi Informasi,"Memahami kode etik profesional pengguna TI, permasalahan hukum akibat penggunaan TI, serta menganalisis fenomena penggunaan TI dari aspek etika, moral, dan hukum.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Forensika Digital,"Memahami potensi ancaman data dan solusi pengamanannya, membangun keamanan data dan infrastruktur sistem, melaporkan proses pengembangan keamanan sistem, serta menerapkan identifikasi dan preservasi bukti elektronik.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Grafik Pengetahuan,"Memahami konsep knowledge graph dan algoritma graph untuk analisis data, serta mendemonstrasikan pemodelan data dalam bentuk graph dan penggunaan algoritma graph.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Implementasi Arsitektur Enterprise,"Mampu menganalisis permasalahan infokom dalam konteks enterprise/masyarakat, menggunakan teknik/metode/perangkat lunak terkini untuk solusi pengelolaan fungsi dan bisnis organisasi, serta menyusun perencanaan sistem informasi menggunakan ilmu dan praktik yang relevan.",3,CLO 1; CLO 2; CLO 3,TeluSurabaya.xlsx
Infrastruktur TI,"Memahami dasar sistem komputer, perangkat keras, perangkat lunak dasar, dan dasar jaringan komputer, serta menerapkan infrastruktur TI untuk kebutuhan bisnis organisasi.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Integrasi Aplikasi Enterprise,"Mengidentifikasi kebutuhan integrasi aplikasi enterprise, mengimplementasikan teknologi integrasi yang sesuai kebutuhan sistem informasi enterprise, menggunakan kakas/teknologi terbaru untuk solusi integrasi yang efektif, mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise/masyarakat, serta menggunakan metode/perangkat lunak dalam konteks penelitian atau proyek nyata.",5,CLO 1-01; CLO 2-02; CLO 2-03; CLO-03; CLO-03,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Internalisasi Budaya dan Pembentukan Karakter,"Memahami nilai-nilai inti karakter mahasiswa berlandaskan budaya Telkom University dan ketahanan diri dalam penerapan karakter HEI, serta mengaplikasikan karakter tersebut di lingkungan kampus melalui penguatan kampus hijau.",3,CLO 1; CLO 2; CLO 3,TeluSurabaya.xlsx
Jaringan Komputer,"Memahami dasar komunikasi, ketersediaan, keterpercayaan dan keamanan jaringan komputer, menerapkan pengalamatan dan konfigurasi perangkat jaringan, merancang jaringan komputer institusi, menggunakan teknik/perangkat infrastruktur TI organisasi, memahami konsep dasar infokom, serta menerapkan perspektif disiplin lain dalam analisis permasalahan infokom.",6,CLO 1-SubCLO01; CLO 2-SubCLO02; CLO 3-SubCLO03; CLO-02; CLO-08; CLO-09,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Keamanan Sistem Informasi,"Menggunakan teknik/metode/perangkat lunak terkini untuk solusi sistem informasi (baik praktikum maupun kasus nyata) dan solusi di bidang data, menggunakan teknik/perangkat infrastruktur TI organisasi, mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise/masyarakat, serta memahami konsep dasar bidang infokom.",6,CLO 1; CLO 2; CLO-01; CLO-02; CLO-03; CLO-08,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Kecerdasan Artifisial dan Penerapannya,"Memahami konsep sistem berbasis kecerdasan, gambaran umum dan contoh aplikasi AI terkini, berbagai algoritma pembelajaran mesin (linear, klasifikasi, clustering) dan penerapannya di sistem informasi, konsep AI untuk pengambilan keputusan, analisis dan prediksi data, jaringan syaraf tiruan dan arsitekturnya, reinforcement learning dan optimal control beserta library-nya, hingga mampu membangun aplikasi sederhana dan software project/deployment berbasis AI.",13,CLO 1; CLO 1; CLO 2; CLO 2; CLO 3; CLO 3; CLO 3; CLO 3; CLO 3; CLO 4; CLO 4; CLO 5; CLO 5,TeluSurabaya.xlsx
Kepemimpinan dan Komunikasi Interpersonal,"Mampu beradaptasi dengan lingkungan baru, bekerja sama dalam tim baik sebagai pemimpin maupun anggota, menyusun dan mengomunikasikan ide/pemikiran dalam berbagai media, serta menyajikan alternatif solusi rancangan dan membuat keputusan berdasarkan berpikir kreatif.",4,CLO 1; CLO 2; CLO 3; CLO 4,TeluSurabaya.xlsx
Kerja Praktek dan Pengabdian Masyarakat,"Mahasiswa mampu menunjukkan etos kerja yang baik dan profesional, merencanakan penyelesaian tugas serta bekerja efektif secara mandiri maupun dalam tim organisasi, mengomunikasikan hasil pekerjaan secara lisan dan tertulis dalam bentuk laporan terstruktur, serta mengidentifikasi dan memformulasikan masalah berbasis data sebagai pengetahuan baru selama kerja praktek.",4,CLO 1-1; CLO 2-1; CLO 3-1; CLO 4-1,TeluSurabaya.xlsx
Kewirausahaan,"Menjelaskan pengertian kewirausahaan, inovasi, kreativitas dan pengembangan ide, merancang business plan beserta marketing mix, aspek operasional dan finansialnya, melakukan negosiasi pendanaan dengan investor, serta menerapkan dan mengembangkan business plan untuk menghasilkan keuntungan.",8,CLO 1; CLO 1; CLO 2; CLO 2; CLO 2; CLO 2; CLO 2; CLO 3,TeluSurabaya.xlsx
Komputasi Awan,"Memahami konsep utama, teknologi, kekuatan dan keterbatasan komputasi awan, mengidentifikasi arsitektur/infrastruktur dan model penerapan cloud, menganalisis masalah inti komputasi awan (infrastruktur, layanan, keamanan), serta mengidentifikasi solusi dan rekomendasi berdasarkan hasil analisis dan evaluasi.",4,CLO 1; CLO 2; CLO 3; CLO 4,TeluSurabaya.xlsx
Komputasi Lunak,"Memahami konsep komputasi lunak dan optimasi, beberapa metode komputasi lunak, jenis algoritma berbasis evolusi, serta aplikasi komputasi lunak untuk kasus nyata.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Logika dan Struktur Diskrit,"Menjelaskan dan menerapkan konsep dasar logika (proposisi, premis, kesimpulan, inferensi) dan pembuktian teorema, konsep struktur diskrit (teori bilangan, himpunan, induksi, rekursi), metode counting serta representasi relasi dan graf, dan menerapkan logika/struktur diskrit untuk memecahkan masalah komputasional.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Manajemen Data Enterprise,"Memahami prinsip infokom (komputasi, matematika, statistika, TIK, desain), konsep dasar tata kelola dan manajemen data serta best practice-nya, melakukan asesmen dan analisis kesenjangan implementasi tata kelola data, serta merancang solusi personil/proses/teknologi tata kelola data dan merekomendasikan prioritas implementasinya.",5,CLO 1; CLO 1-SUB CLO 1-1; CLO 1-SUB CLO 1-2; CLO 3-SUB CLO 3-1; CLO 5-SUB CLO 5-1,TeluSurabaya.xlsx
Manajemen Hubungan Pelanggan,"Memahami konsep rekayasa dan manajemen hubungan pelanggan (CRM), menjabarkan teori dan isu terbaru CRM, merencanakan diseminasi teori CRM ke masyarakat, serta menilai dan mempraktikkan perbaikan program CRM.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Manajemen Investasi TI,"Memahami konsep investasi TI dan analisis kebutuhan, model akuisisi serta metode finansial/ekonomi, menerapkan metode multi kriteria untuk investasi TI, serta menganalisis kelayakan untuk memilih alternatif terbaik.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Manajemen Layanan TI,"Menjelaskan konsep-konsep penting manajemen layanan TI, model-model utama (SVS, SVC, ITIL), serta 34 practices manajemen layanan TI.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Manajemen Perubahan Organisasi,"Memahami konsep kepemimpinan dan gaya kepemimpinan serta strategi pengembangannya, konsep, tipe, dan model manajemen perubahan, serta menerapkan model manajemen perubahan dalam studi kasus.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Manajemen Proses Bisnis,"Mengklasifikasikan proses bisnis organisasi, menemukan dan menggambarkan proses AS-IS, menganalisis proses secara kualitatif dan kuantitatif, merancang ulang proses bisnis, serta mendemonstrasikan eksekusi model proses di atas perangkat lunak BPM.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Manajemen Proyek Sistem Informasi,"Mahasiswa mampu berinisiatif dan bertanggung jawab menyelesaikan tugas dalam tim, menulis dokumen profesional, menggunakan metode/perangkat lunak dalam konteks penelitian atau proyek nyata, memahami prinsip manajemen sistem informasi dalam organisasi, serta menyusun perencanaan sistem informasi menggunakan ilmu dan praktik yang relevan.",6,CLO 1; CLO 2; CLO 3; CLO 4; CLO 5; CLO-02,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Manajemen Proyek Tangkas,"Menunjukkan filosofi dan prinsip agile, mengemukakan siklus hidup proyek agile dan konfigurasi alternatifnya, mengoperasikan teknik agile beserta manfaat dan keterbatasannya, serta mengimplementasikan pengelolaan proyek agile (perencanaan, eksekusi, kontrol).",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Manajemen Rantai Pasok,"Menjelaskan prinsip dasar operasi dan manajemen rantai pasok, strategi dan proses rantai pasok modern, procurement dan distribusi barang/jasa serta tren rantai pasok global, melakukan demand forecasting dan analisis inventory, merencanakan sales dan kapasitas sumber daya produksi, melakukan procurement dan reporting dengan perangkat lunak manajemen rantai pasok, serta memecahkan masalah proses bisnis umum (persediaan, logistik) dan mengusulkan solusi TI untuk supply chain nyata.",14,CLO 1; CLO 1-sub-CLO01; CLO 1-sub-CLO02; CLO 1-sub-CLO03; CLO 2-sub-CLO01; CLO 2-sub-CLO02; CLO 2-sub-CLO03; CLO 2-sub-CLO04; CLO 3-sub-CLO01; CLO 3-sub-CLO02; CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx; TeluSurabaya.xlsx
Manajemen Risiko TI,"Memahami ketidakpastian bisnis dan kerentanan data/informasi, mengelola risiko TI untuk keberlangsungan bisnis, serta mengelola sistem informasi yang aman dan akuntabel.",3,CLO01a; CLO01b; CLO01c,ITS_SI_BRIN.xlsx
Manajemen Sumber Daya Manusia,"Mengidentifikasi peran manajemen SDM, menganalisis elemen alur kerja/spesifikasi kerja/struktur organisasi, menjelaskan proses perencanaan SDM, seleksi dan rekrutmen personil, pelatihan dan pengembangan karyawan, pengukuran kinerja dan kompensasi karyawan, tren dan komposisi SDM dalam sistem perusahaan, proses pemberhentian/regenerasi/retirement pegawai, hingga menyusun, mengaplikasikan, dan mengevaluasi kualifikasi karyawan, personnel infotype, manajemen waktu/penjadwalan, dan proses rekrutmen/onboarding menggunakan sistem enterprise terintegrasi.",14,CLO 1-1.1; CLO 1-1.2; CLO 2-2.1; CLO 2-2.2; CLO 2-2.3; CLO 2-2.4; CLO 3-3.1; CLO 3-3.2; CLO 3-3.3; CLO 3-3.4; CLO 4-4.1; CLO 4-4.2; CLO 5-5.1; CLO 5-5.3,TeluSurabaya.xlsx
Matematika Diskrit,"Membedakan proposisi atomik dan majemuk menggunakan tabel kebenaran, menyimpulkan kesahihan argumen melalui prinsip implikasi/biimplikasi, menjelaskan teori dan hukum himpunan, definisi dan prinsip matriks/relasi/fungsi, menerapkan prinsip permutasi/kombinasi/pigeon hole/peluang diskrit, serta menerapkan prinsip graf dan tree untuk menyelesaikan masalah pemodelan jaringan dan masalah tertentu.",7,CLO 1-SubCLO-1.1; CLO 1-SubCLO-1.2; CLO 1-SubCLO-1.3; CLO 1-SubCLO-1.4; CLO 1-SubCLO-1.5; CLO 2-3; CLO 2-4,TeluSurabaya.xlsx
Matematika untuk Sistem Informasi,"Menerapkan sifat himpunan bilangan real untuk pertidaksamaan dan fungsi, memahami konsep turunan dan integral dalam optimasi pemodelan sistem informasi, serta menerapkan konsep matriks dan vektor dalam permasalahan sistem informasi.",3,CLO 1-SubCLO1; CLO 1-SubCLO2; CLO 6-SubCLO3,TeluSurabaya.xlsx
Metode Penelitian Dan Penyusunan Karya Ilmiah,"Mahasiswa mampu mengetahui dan menentukan lingkup penelitian tugas akhir bidang Sistem Informasi, membuat mindmap literatur, mengidentifikasi permasalahan dan batasan solusi TA, membandingkan dan mengklasifikasikan literatur pendukung, menulis laporan/proposal TA sesuai template dan aturan sitasi, memahami struktur makalah dan mekanisme publikasi ilmiah, menggunakan bahasa Inggris untuk referensi TA, serta menentukan metode yang sesuai untuk pembuatan produk TA beserta cara evaluasinya.",18,CLO 1-PLO01-CLO03.1; CLO 1-PLO01-CLO03.3; CLO 1-PLO01-CLO03.5; CLO 1-PLO01-CLO03.6; CLO 1-PLO01-CLO03.8; CLO 1-PLO01-CLO03.8; CLO 2-PLO01-CLO04.1; CLO 2-PLO01-CLO04.4; CLO 2-PLO01-CLO04.4; CLO 3-PLO05-CLO02.1; CLO 3-PLO05-CLO02.1; CLO 3-PLO05-CLO02.2; CLO 3-PLO05-CLO02.2; CLO 3-PLO05-CLO02.3; CLO 3-PLO05-CLO02.5; CLO 4-PLO08-CLO03.2; CLO 4-PLO08-CLO03.4; CLO 4-PLO08-CLO03.4,TeluSurabaya.xlsx
Monitoring dan Evaluasi Organisasi TI,"Memahami konsep dasar monitoring dan evaluasi, desain hasil monitoring dan evaluasi, mengemukakan indikator serta data monitoring dan evaluasi, serta menguraikan rencana monitoring dan evaluasi.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
Organisasi dan Fungsional Bisnis,"Memahami organisasi sebagai system of flows, design parameter, contingency factors, dan structural configurations dalam desain organisasi, serta menganalisis dan merekomendasikan perbaikan pada organisasi bisnis kontemporer.",6,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e; CLO01f,ITS_SI_BRIN.xlsx
Pancasila,"Menjelaskan urgensi Pancasila dalam kajian sejarah, menganalisis Pancasila sebagai dasar negara dan ideologi negara, serta menganalisis Pancasila sebagai sistem filsafat, sistem etika, dan dasar nilai pengembangan ilmu.",7,CLO 1; CLO 1; CLO 2; CLO 3; CLO 3; CLO 3; CLO 3,TeluSurabaya.xlsx
Pelatihan dan Sertifikasi,"Mahasiswa mampu menyusun dan menyelenggarakan pelatihan terkait sertifikasi bidang peminatan, memahami pentingnya sertifikasi dan jenis-jenis sertifikasi IT/IS sesuai bidang peminatan, menganalisis kesempatan dan tantangan karir era industri 4.0, serta melaksanakan sertifikasi kompetensi dan lulus uji kompetensi sesuai bidang peminatan.",5,CLO 1-PLO05-CLO03.1; CLO 2-PLO07-CLO01.1; CLO 2-PLO07-CLO01.2; CLO 2-PLO07-CLO01.3; CLO 2-PLO07-CLO02.1,TeluSurabaya.xlsx
Pemerintahan Elektronik dan Kota Cerdas,"Memahami konsep dan antar domain smart city, memberikan kontribusi keilmuan sistem informasi untuk implementasi di lingkungan pemerintah, menerapkan dan merekayasa solusi untuk smart city, serta memberikan solusi inovasi dan gagasan untuk smart city.",4,CLO 1-1; CLO 1-2; CLO 3-1; CLO 4-1,TeluSurabaya.xlsx
Pemodelan Proses Bisnis,"Mengaplikasikan komunikasi efektif untuk menggali kebutuhan dan menyampaikan hasil pekerjaan, memahami penerapan proses bisnis pada berbagai tingkat organisasi, membuat model proses bisnis tingkat dasar dan lanjut menggunakan teknik dan kakas pemodelan, menyampaikan ide dan argumen secara persuasif, menganalisis prinsip manajemen sistem informasi untuk strategi bisnis, serta memodelkan penyelenggaraan sistem informasi dan menghasilkan solusi pengelolaan fungsi bisnis dalam kasus nyata.",9,CLO 1-1.1.; CLO 1-1.2.; CLO 2-2.1.; CLO 4-4.1.; CLO 5-5.1.; CLO-01; CLO-02; CLO-04; CLO-05,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Pemodelan Sistem Kognitif,"Memahami dasar-dasar cognitive computing dan implementasi soft computing sebagai engine, menelaah peran AI/ML/IoT dalam cognitive computing, memahami representasi pengetahuan dan manifestasinya, serta memahami peran NLP dan expert system dalam sistem kognitif.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Pemodelan dan Analitika Prediktif,"Menginterpretasikan karakteristik data deret waktu dan teknik peramalan, memproyeksikan masa depan dengan teknik peramalan yang robust, menggunakan teknik data mining untuk prediksi data numerikal dan kategorikal, menggunakan machine/deep learning untuk klasifikasi, serta berperan sebagai data scientist dalam mengomunikasikan temuan.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Pemodelan dan Analitika Preskriptif,"Memahami permasalahan dan kompleksitas optimasi kombinatorik, menentukan dan menerapkan algoritma heuristik yang tepat, serta menganalisis performa algoritma heuristik tersebut.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Pemrograman Berorientasi Objek,"Menjelaskan konsep dasar OOP (sintaks dasar, enkapsulasi, inheritance, polimorfisme, abstraksi, penanganan eksepsi) dalam Java, menerapkan prinsip OOP untuk merancang dan mengimplementasikan kelas dan objek, mengimplementasikan solusi sistem informasi dengan metodologi yang tepat, merancang dan mendokumentasikan aplikasi Java secara kolaboratif, serta memahami konsep dasar bidang infokom.",6,CLO 1-1; CLO 2-2; CLO-01; CLO-03; CLO-03; CLO-08,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Pemrograman Dasar,"Menjelaskan konsep variabel dan tipe data dalam Java, menerapkan input/output, percabangan, dan perulangan, menerapkan array, membuat class/method/object dalam Java, menerapkan exception handling, serta membuat program Java untuk masalah komputasional dasar.",6,CLO.AD.2-1; CLO.AD.2-2; CLO.AD.2-3; CLO.AD.2-4; CLO.AD.2-5; CLO.AD.2-6,ITS_SI_BRIN.xlsx
Pemrograman Web,"Memahami arsitektur layanan berbasis web dan teknologi pembuatan aplikasi web, menganalisis berbagai MVC framework, membangun aplikasi web dengan framework, serta mendemonstrasikan proses dan hasil pembangunan aplikasi web.",5,CLO01a; CLO01b; CLO01c; CLO01d; CLO01e,ITS_SI_BRIN.xlsx
Penambangan Data,"Mahasiswa mampu melakukan eksplorasi data, menerapkan metode statistika dan berbagai metodologi dalam pemodelan data mining, menginterpretasikan statistika deskriptif dan visualisasi data, menjelaskan konsep dasar dan ruang lingkup data mining, membuat pemodelan data yang menghasilkan informasi untuk pengambilan keputusan, mengaplikasikan tahapan data preprocessing pada data riil, mengembangkan dashboard visualisasi hasil pemodelan, serta menggunakan metode data mining dan Python/R untuk solusi di bidang data pada kasus nyata.",13,CLO 1-1; CLO 1-2; CLO 1-3; CLO 2-1; CLO 2-2; CLO 3-1; CLO 3-2; CLO 3-3; CLO 4-1; CLO-01; CLO-02; CLO-05; CLO-07,Dataset_CLO_OBE_SI_TelUJakarta.xlsx; TeluSurabaya.xlsx
Pengantar Ekonomi dan Bisnis,"Menjelaskan gagasan besar teori dan praktik ekonomi modern, perniagaan, perdagangan, dan manajemen, menguraikan strategi bisnis utama pebisnis terkemuka, serta menggali pola pikir ekonom besar untuk menyederhanakan konsep sulit.",4,CLO01a; CLO01b; CLO01c; CLO01d,ITS_SI_BRIN.xlsx
