course_name,rank,job_id,job_title,job_company,job_source,course_job_score_max,explanation
Jaringan Komputer,1,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-1.2024,Semantic match score: -1.20 for query 'Jaringan Komputer'
Jaringan Komputer,2,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin,-3.2449,Semantic match score: -3.24 for query 'Jaringan Komputer'
Jaringan Komputer,3,li_4403509120,Software Engineer,KIHOMAC,linkedin,-3.511,Semantic match score: -3.51 for query 'Jaringan Komputer'
Jaringan Komputer,4,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-3.6951,Semantic match score: -3.70 for query 'Jaringan Komputer'
Jaringan Komputer,5,li_4327166527,Computer Scientist - Mid,"Bluehawk LLC, Intelligence Services",linkedin,-3.7227,Semantic match score: -3.72 for query 'Jaringan Komputer'
Keamanan Sistem Informasi,1,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-1.2758,Semantic match score: -1.28 for query 'Keamanan Sistem Informasi'
Keamanan Sistem Informasi,2,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-1.4011,Semantic match score: -1.40 for query 'Keamanan Sistem Informasi'
Keamanan Sistem Informasi,3,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.4208,Semantic match score: -1.42 for query 'Keamanan Sistem Informasi'
Keamanan Sistem Informasi,4,li_4363726700,Software Engineer,Oso,linkedin,-2.5269,Semantic match score: -2.53 for query 'Keamanan Sistem Informasi'
Keamanan Sistem Informasi,5,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin,-2.8941,Semantic match score: -2.89 for query 'Keamanan Sistem Informasi'
Manajemen Proyek Sistem Informasi,1,gd_1010178865002,"Research Assistant I - Audibility, Perception and Cognition Laboratory",Boys Town National Research Hospital,glassdoor,-1.4064,Semantic match score: -1.41 for query 'Manajemen Proyek Sistem Informasi'
Manajemen Proyek Sistem Informasi,2,gd_1010139624650,Research Assistant 1- Word Learning Lab,Boys Town National Research Hospital,glassdoor,-3.1092,Semantic match score: -3.11 for query 'Manajemen Proyek Sistem Informasi'
Manajemen Proyek Sistem Informasi,3,li_3815119724,Software,Bay Mortgage Services,linkedin,-3.994,Semantic match score: -3.99 for query 'Manajemen Proyek Sistem Informasi'
Manajemen Proyek Sistem Informasi,4,li_4430289828,Software Engineer II,Arcfield,linkedin,-4.6527,Semantic match score: -4.65 for query 'Manajemen Proyek Sistem Informasi'
Manajemen Proyek Sistem Informasi,5,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin,-4.821,Semantic match score: -4.82 for query 'Manajemen Proyek Sistem Informasi'
Pemodelan Proses Bisnis,1,li_4429570401,Business Intelligence Analyst,Quanta Power Solutions,linkedin,-3.1577,Semantic match score: -3.16 for query 'Pemodelan Proses Bisnis'
Pemodelan Proses Bisnis,2,li_4422384759,Machine Learning Operations Engineer,Sintela,linkedin,-3.4422,Semantic match score: -3.44 for query 'Pemodelan Proses Bisnis'
Pemodelan Proses Bisnis,3,gd_1010109391172,AI Tutor - Tagalog,x.ai,glassdoor,-3.9255,Semantic match score: -3.93 for query 'Pemodelan Proses Bisnis'
Pemodelan Proses Bisnis,4,li_4363726700,Software Engineer,Oso,linkedin,-4.4737,Semantic match score: -4.47 for query 'Pemodelan Proses Bisnis'
Pemodelan Proses Bisnis,5,li_4409724477,Business Intelligence Analyst,Liebherr USA,linkedin,-4.6748,Semantic match score: -4.67 for query 'Pemodelan Proses Bisnis'
Pemrograman Berorientasi Objek,1,li_4363726700,Software Engineer,Oso,linkedin,-0.9706,Semantic match score: -0.97 for query 'Pemrograman Berorientasi Objek'
Pemrograman Berorientasi Objek,2,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-1.7492,Semantic match score: -1.75 for query 'Pemrograman Berorientasi Objek'
Pemrograman Berorientasi Objek,3,li_4403509120,Software Engineer,KIHOMAC,linkedin,-1.82,Semantic match score: -1.82 for query 'Pemrograman Berorientasi Objek'
Pemrograman Berorientasi Objek,4,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-1.8264,Semantic match score: -1.83 for query 'Pemrograman Berorientasi Objek'
Pemrograman Berorientasi Objek,5,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-2.0271,Semantic match score: -2.03 for query 'Pemrograman Berorientasi Objek'
Penambangan Data,1,li_4429459188,Data Scientist - NLP,Analytica,linkedin,2.227,Semantic match score: 2.23 for query 'Penambangan Data'
Penambangan Data,2,li_4425297677,Data Scientist,Google,linkedin,1.092,Semantic match score: 1.09 for query 'Penambangan Data'
Penambangan Data,3,li_4435439591,Data Analyst,DBD International,linkedin,0.5704,Semantic match score: 0.57 for query 'Penambangan Data'
Penambangan Data,4,li_4419083864,Data Analyst - Rental,The Home Depot,linkedin,0.5326,Semantic match score: 0.53 for query 'Penambangan Data'
Penambangan Data,5,li_4432106356,Data Analytics Specialist,Amentum,linkedin,0.2853,Semantic match score: 0.29 for query 'Penambangan Data'
Pengantar Sistem Informasi,1,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin,-0.4856,Semantic match score: -0.49 for query 'Pengantar Sistem Informasi'
Pengantar Sistem Informasi,2,li_4435439591,Data Analyst,DBD International,linkedin,-2.3177,Semantic match score: -2.32 for query 'Pengantar Sistem Informasi'
Pengantar Sistem Informasi,3,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.6151,Semantic match score: -2.62 for query 'Pengantar Sistem Informasi'
Pengantar Sistem Informasi,4,li_4434016802,Back End Developer,Cooler Master USA,linkedin,-2.7991,Semantic match score: -2.80 for query 'Pengantar Sistem Informasi'
Pengantar Sistem Informasi,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-2.9722,Semantic match score: -2.97 for query 'Pengantar Sistem Informasi'
Pengembangan Aplikasi Website,1,li_4427706568,"Web Developer (HTML,CSS) | Remote",Crossing Hurdles,linkedin,5.6519,Semantic match score: 5.65 for query 'Pengembangan Aplikasi Website'
Pengembangan Aplikasi Website,2,li_4414938843,Web Apps Developer,Halvik,linkedin,3.5002,Semantic match score: 3.50 for query 'Pengembangan Aplikasi Website'
Pengembangan Aplikasi Website,3,li_4426358084,Full Stack Developer,Levin Furniture & Mattress,linkedin,3.2634,Semantic match score: 3.26 for query 'Pengembangan Aplikasi Website'
Pengembangan Aplikasi Website,4,li_4402733831,Full Stack Developer,Scientific Research Corporation,linkedin,2.1327,Semantic match score: 2.13 for query 'Pengembangan Aplikasi Website'
Pengembangan Aplikasi Website,5,li_4427730735,UI Frontend Developer,Unissant,linkedin,1.6203,Semantic match score: 1.62 for query 'Pengembangan Aplikasi Website'
Pengembangan Sistem Cerdas,1,li_4387561209,AI Engineer,Avid Technology Professionals,linkedin,3.1608,Semantic match score: 3.16 for query 'Pengembangan Sistem Cerdas'
Pengembangan Sistem Cerdas,2,li_4423127415,Machine Learning Engineer,Oho Group,linkedin,2.1751,Semantic match score: 2.18 for query 'Pengembangan Sistem Cerdas'
Pengembangan Sistem Cerdas,3,li_4432488212,Machine Learning Engineer,Harrison Clarke,linkedin,2.0623,Semantic match score: 2.06 for query 'Pengembangan Sistem Cerdas'
Pengembangan Sistem Cerdas,4,gd_1007506508998,Science Policy Postdocs,European Business Reliance Centre,glassdoor,1.8885,Semantic match score: 1.89 for query 'Pengembangan Sistem Cerdas'
Pengembangan Sistem Cerdas,5,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin,1.6618,Semantic match score: 1.66 for query 'Pengembangan Sistem Cerdas'
Perancangan Interaksi,1,li_4431711270,UX Designer,MDAEdge,linkedin,3.3702,Semantic match score: 3.37 for query 'Perancangan Interaksi'
Perancangan Interaksi,2,li_4431725005,UX Designer,MDAEdge,linkedin,1.8737,Semantic match score: 1.87 for query 'Perancangan Interaksi'
Perancangan Interaksi,3,li_4433350882,Figma Designer,TekValue IT Solutions,linkedin,1.7834,Semantic match score: 1.78 for query 'Perancangan Interaksi'
Perancangan Interaksi,4,li_4433193265,UX Designer,Scale.jobs,linkedin,1.6087,Semantic match score: 1.61 for query 'Perancangan Interaksi'
Perancangan Interaksi,5,li_4401451723,Experience Designer,EGO,linkedin,1.3348,Semantic match score: 1.33 for query 'Perancangan Interaksi'
Proyek Perangkat Lunak,1,li_4419011686,Software Engineer II (Frontend),"Scribd, Inc.",linkedin,-1.8334,Semantic match score: -1.83 for query 'Proyek Perangkat Lunak'
Proyek Perangkat Lunak,2,li_4419003903,Software Engineer II (Frontend),"Scribd, Inc.",linkedin,-1.8334,Semantic match score: -1.83 for query 'Proyek Perangkat Lunak'
Proyek Perangkat Lunak,3,li_4419576589,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572,Semantic match score: -1.86 for query 'Proyek Perangkat Lunak'
Proyek Perangkat Lunak,4,li_4419576591,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572,Semantic match score: -1.86 for query 'Proyek Perangkat Lunak'
Proyek Perangkat Lunak,5,li_4419568698,"Software Engineer (Backend), Content Foundations","Scribd, Inc.",linkedin,-1.8572,Semantic match score: -1.86 for query 'Proyek Perangkat Lunak'
Rekayasa Proses Bisnis,1,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,0.5643,Semantic match score: 0.56 for query 'Rekayasa Proses Bisnis'
Rekayasa Proses Bisnis,2,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-1.8968,Semantic match score: -1.90 for query 'Rekayasa Proses Bisnis'
Rekayasa Proses Bisnis,3,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-1.8968,Semantic match score: -1.90 for query 'Rekayasa Proses Bisnis'
Rekayasa Proses Bisnis,4,li_4363726700,Software Engineer,Oso,linkedin,-2.8215,Semantic match score: -2.82 for query 'Rekayasa Proses Bisnis'
Rekayasa Proses Bisnis,5,li_4424958127,Product Designer,Plot,linkedin,-3.3801,Semantic match score: -3.38 for query 'Rekayasa Proses Bisnis'
Sistem Basis Data,1,li_4406796300,Software Engineer,Anicca Data Science Solutions,linkedin,-2.922,Semantic match score: -2.92 for query 'Sistem Basis Data'
Sistem Basis Data,2,li_4363726700,Software Engineer,Oso,linkedin,-2.9232,Semantic match score: -2.92 for query 'Sistem Basis Data'
Sistem Basis Data,3,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-2.987,Semantic match score: -2.99 for query 'Sistem Basis Data'
Sistem Basis Data,4,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-2.987,Semantic match score: -2.99 for query 'Sistem Basis Data'
Sistem Basis Data,5,li_3815119724,Software,Bay Mortgage Services,linkedin,-3.0999,Semantic match score: -3.10 for query 'Sistem Basis Data'
Sistem Enterprise,1,li_4363726700,Software Engineer,Oso,linkedin,0.9984,Semantic match score: 1.00 for query 'Sistem Enterprise'
Sistem Enterprise,2,li_4429955515,Product Designer,Conduct,linkedin,0.7079,Semantic match score: 0.71 for query 'Sistem Enterprise'
Sistem Enterprise,3,li_4387607502,"Software Engineer, Full Stack",Boom Supersonic,linkedin,0.7032,Semantic match score: 0.70 for query 'Sistem Enterprise'
Sistem Enterprise,4,li_4433708125,Software Engineer,Albert Bow,linkedin,0.0204,Semantic match score: 0.02 for query 'Sistem Enterprise'
Sistem Enterprise,5,li_4205003719,Software Engineer,Middesk,linkedin,-0.108,Semantic match score: -0.11 for query 'Sistem Enterprise'
Sistem Informasi Akuntansi,1,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin,-0.3324,Semantic match score: -0.33 for query 'Sistem Informasi Akuntansi'
Sistem Informasi Akuntansi,2,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin,-0.3324,Semantic match score: -0.33 for query 'Sistem Informasi Akuntansi'
Sistem Informasi Akuntansi,3,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin,-1.4296,Semantic match score: -1.43 for query 'Sistem Informasi Akuntansi'
Sistem Informasi Akuntansi,4,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-1.7127,Semantic match score: -1.71 for query 'Sistem Informasi Akuntansi'
Sistem Informasi Akuntansi,5,li_4419895399,Software Engineer,Kratos Defense and Security Solutions,linkedin,-2.6846,Semantic match score: -2.68 for query 'Sistem Informasi Akuntansi'
Sistem Operasi,1,li_4431330775,Software Developer,Arvin Acme Technologies Inc,linkedin,1.9842,Semantic match score: 1.98 for query 'Sistem Operasi'
Sistem Operasi,2,li_3815119724,Software,Bay Mortgage Services,linkedin,1.1739,Semantic match score: 1.17 for query 'Sistem Operasi'
Sistem Operasi,3,li_4410318166,JOB-6719,ALTEN,linkedin,-0.5028,Semantic match score: -0.50 for query 'Sistem Operasi'
Sistem Operasi,4,li_4375997156,Data Analyst,Chubb,linkedin,-0.5378,Semantic match score: -0.54 for query 'Sistem Operasi'
Sistem Operasi,5,li_4426669408,Software Developer,Zekiah Technologies,linkedin,-0.9885,Semantic match score: -0.99 for query 'Sistem Operasi'
Tata Kelola dan Manajemen Teknologi Informasi,1,li_3815119724,Software,Bay Mortgage Services,linkedin,-1.6918,Semantic match score: -1.69 for query 'Tata Kelola dan Manajemen Teknologi Informasi'
Tata Kelola dan Manajemen Teknologi Informasi,2,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin,-1.9169,Semantic match score: -1.92 for query 'Tata Kelola dan Manajemen Teknologi Informasi'
Tata Kelola dan Manajemen Teknologi Informasi,3,li_4435815437,Data Analyst (Data Management),UNCOMN,linkedin,-2.3311,Semantic match score: -2.33 for query 'Tata Kelola dan Manajemen Teknologi Informasi'
Tata Kelola dan Manajemen Teknologi Informasi,4,li_3686416246,Epicor Software Programmer,"Patriot Machine, Inc.",linkedin,-2.7128,Semantic match score: -2.71 for query 'Tata Kelola dan Manajemen Teknologi Informasi'
Tata Kelola dan Manajemen Teknologi Informasi,5,li_4363726700,Software Engineer,Oso,linkedin,-3.4375,Semantic match score: -3.44 for query 'Tata Kelola dan Manajemen Teknologi Informasi'
